,FB,MSFT,TSLA,TWTR
2019-01-02,135.67999267578125,99.64661407470703,310.1199951171875,28.809999465942383
2019-01-03,131.74000549316406,95.98081970214844,300.3599853515625,27.989999771118164
2019-01-04,137.9499969482422,100.44481658935547,317.69000244140625,29.950000762939453
2019-01-07,138.0500030517578,100.57292175292969,334.9599914550781,31.34000015258789
2019-01-08,142.52999877929688,101.30213928222656,335.3500061035156,31.799999237060547
2019-01-09,144.22999572753906,102.75071716308594,338.5299987792969,32.25
2019-01-10,144.1999969482422,102.09048461914062,344.9700012207031,33.09000015258789
2019-01-11,143.8000030517578,101.30213928222656,347.260009765625,32.869998931884766
2019-01-14,145.38999938964844,100.56307220458984,334.3999938964844,32.369998931884766
2019-01-15,148.9499969482422,103.47994995117188,344.42999267578125,33.02000045776367
2019-01-16,147.5399932861328,103.84455108642578,346.04998779296875,32.470001220703125
2019-01-17,148.3000030517578,104.57376861572266,347.30999755859375,32.849998474121094
2019-01-18,150.0399932861328,106.1406021118164,302.260009765625,33.27000045776367
2019-01-22,147.57000732421875,104.14017486572266,298.9200134277344,32.25
2019-01-23,144.3000030517578,105.15516662597656,287.5899963378906,30.969999313354492
2019-01-24,145.8300018310547,104.65260314941406,291.510009765625,31.610000610351562
2019-01-25,149.00999450683594,105.60846710205078,297.0400085449219,32.900001525878906
2019-01-28,147.47000122070312,103.5489273071289,296.3800048828125,33.130001068115234
2019-01-29,144.19000244140625,101.44010162353516,297.4599914550781,31.639999389648438
2019-01-30,150.4199981689453,104.8299789428711,308.7699890136719,32.2599983215332
2019-01-31,166.69000244140625,102.90839385986328,307.0199890136719,33.560001373291016
2019-02-01,165.7100067138672,101.28243255615234,312.2099914550781,33.189998626708984
2019-02-04,169.25,104.19929504394531,312.8900146484375,33.939998626708984
2019-02-05,171.16000366210938,105.65774536132812,321.3500061035156,34.369998931884766
2019-02-06,170.49000549316406,104.48507690429688,317.2200012207031,34.15999984741211
2019-02-07,166.3800048828125,103.73614501953125,307.510009765625,30.799999237060547
2019-02-08,167.3300018310547,104.13032531738281,305.79998779296875,30.010000228881836
2019-02-11,165.7899932861328,103.71644592285156,312.8399963378906,30.229999542236328
2019-02-12,165.0399932861328,105.33255004882812,311.80999755859375,30.389999389648438
2019-02-13,164.07000732421875,105.25371551513672,308.1700134277344,31.1200008392334
